index,Query,Engine,Original_Value,Simulacao_1,Simulacao_2,Simulacao_3,Simulacao_4,Simulacao_5,Simulacao_6,Simulacao_7,Simulacao_8,Simulacao_9,Desvio_Padrao,Media_Simulada
0,Q1,Hive,537.67,519.1539761342048,560.6712071629655,555.6594084137556,547.9078746029032,529.2396311520769,523.1148910696614,548.2134303904115,558.551135783266,534.8647585519901,14.813382910448281,541.9307014734705
1,Q1,Spark,260.9,281.29461478569056,245.76599851349692,247.75881025105016,264.3475784991507,263.62714569740825,265.62681586923463,261.91989985107466,244.83170285693035,263.36648228712187,11.128003358053098,259.83767206790645
2,Q1,Spark_Cache,310.05,323.23244018176825,309.68715563157343,324.845541644527,301.34072979706923,292.42732000555594,326.3964429994589,296.5476167591181,317.42321749709566,307.945076206378,11.915134179751282,311.0939489691716
3,Q2,Hive,565.32,534.7967120658069,550.1434541434564,564.1597413423649,572.3433458332913,598.63376111509,533.4220202416409,549.4170259344347,546.1427579234409,596.3546253544359,22.908999903289843,560.6014937726624
4,Q2,Spark,206.37,193.50543250875447,200.6738457761281,196.69196791101234,185.17658875474658,203.55717717251807,219.568892930041,207.51362820238754,204.76235813119914,212.4681225435246,9.660517629880125,202.65755710336802
5,Q2,Spark_Cache,304.29,283.2718171744561,299.7805946613802,299.12914732593794,279.46514311459947,318.71237124852667,293.9827759936067,310.21834957985817,303.99494399221794,294.5202522302161,11.58185246565097,298.11948836897767
6,Q3,Hive,513.68,530.8613982981352,557.9574634608998,539.0119618619206,515.5124309743736,505.6375198811175,503.1028348283766,510.40340151715066,479.60872728737223,532.2514655714252,21.863781738464397,519.3719115200857
7,Q3,Spark,211.58,209.00564155112517,204.20292612780614,206.30469090775838,226.47331075798542,212.58788182260082,216.69577945886994,212.19966076981962,225.65445654407725,205.29531996750208,7.841791674547189,213.1577408786161
8,Q3,Spark_Cache,304.17,288.0107685136425,297.147717748759,313.9404560298555,297.1003181154597,322.66744551061413,296.8230402585222,312.00392501144273,277.4446434191215,284.64967080483734,13.965877056709044,298.86533171247277
9,Q4,Hive,568.63,528.436150938275,589.9828515722659,630.1213081340021,466.289233780614,575.8547031440851,563.1891868628576,540.2849273713347,562.349205127381,545.2946305285393,42.56214758173886,555.755799717706
10,Q4,Spark,203.83,193.69975478339447,197.9855262413007,218.30506459994695,188.377021492435,198.85894105804385,211.42923806623716,227.75600227810722,195.81661574633418,213.22002355308086,12.37834535557822,205.04979864654226
11,Q4,Spark_Cache,299.04,309.4193484222615,307.2412465611219,306.8149137107259,291.5707056466719,286.1597588648616,283.0574963596738,306.42094488785204,283.58571873146553,279.89787426210063,11.636209372204155,294.90755638297054
12,Q5,Hive,1136.77,1139.2526039998413,1132.771561664875,1217.6658931985942,1096.016172151425,1088.6528542188466,1128.3962478877293,1050.0645766402542,1115.9188626503174,1096.5812754241706,43.63087336606913,1118.368894204006
13,Q5,Spark,257.1,256.274178563855,248.6902881105686,253.18970916042457,257.5258827453947,266.43846878404463,250.64072360444038,266.0858633031431,263.7194847765949,258.0661078029122,6.11254917832588,257.8478563168198
14,Q5,Spark_Cache,350.32,332.090098803802,361.90598092677294,373.1276418622154,358.1401121328559,368.01996570908835,343.5545442847872,347.0386378786919,337.2072576380629,370.96634348399624,14.319638193846673,354.6722869689192
15,Q6,Hive,1520.01,1583.524859458286,1496.0740121673832,1471.886061042675,1645.7726064388112,1541.9712424474553,1425.2652974567038,1527.6465114962243,1536.7769727147067,1443.6499454891136,65.28747409172584,1519.1741676345955
16,Q6,Spark,238.0,234.757956229949,258.76551575941335,221.56484974985847,242.61054858173833,231.78238900749867,246.72062365325385,224.75711929798368,241.38713083304017,242.09509814627555,10.80509639211709,238.2712479176679
17,Q6,Spark_Cache,341.11,304.85362784269,344.7737691671062,310.40105567763084,344.8963605631655,336.3264597368461,307.92624214771877,370.4992267009658,334.36673103986266,344.4440457980235,20.444000849567086,333.1652798526677
18,Q7,Hive,945.26,923.2088857015987,979.0580188887517,1082.6605894590518,999.3946541736442,928.0332613551282,865.2090158421244,933.1756589009462,1006.7110240638293,931.3814811724577,59.65956437024083,960.9813988397257
19,Q7,Spark,248.88,273.1648822049097,248.6756153865223,244.4091112890427,274.15206158918625,236.31734658449224,261.8119385732702,239.9566474664558,245.82249394000507,251.5907021093587,13.021326742744657,252.8778665714714
20,Q7,Spark_Cache,333.75,341.65013375286236,328.91708487172315,322.2843953285646,325.0282873929835,393.0713299204821,308.96442051704844,348.9939862956977,335.2833841620076,323.767243672602,22.842217628064073,336.4400295459968
21,Q8,Hive,1160.63,1168.2423361940068,1150.7517681454337,1197.5034457961028,1129.8723424353916,1289.5240677459471,1248.7856271568858,1069.5819218577112,1138.84931511059,1197.1893830267786,62.024041411433465,1176.7000230520941
22,Q8,Spark,324.14,323.4619869281524,311.7138597315625,348.25296657815124,297.0890047715433,320.52851349416636,274.4566830632013,322.0951295003033,326.0409394718145,334.7907407702184,20.23806624680658,317.60331381212364
23,Q8,Spark_Cache,287.13,294.8282907560617,275.7962459977751,291.14979890413707,289.6453606450815,287.1607959015545,279.60103331570747,304.6742280208315,303.79997937106214,286.50613246293284,9.18679669475294,290.351318375016
24,Q9,Hive,1836.1,1835.167402606308,1881.8686018108756,1974.1828823912106,1740.5009626931442,1817.646132309735,1949.4704871327597,2008.4050734446625,1772.840597451638,1899.1762617008037,86.41778506974812,1875.473155726793
25,Q9,Spark,583.61,575.5392610389846,575.2565121807995,593.1355509715821,551.5945006181179,614.0564480012138,549.8699433588026,557.8578175864264,532.2200213762163,614.7132352474288,27.329804284452216,573.8048100421747
26,Q9,Spark_Cache,278.79,275.2199902786769,281.9763410873898,263.66114430455127,287.37926783826975,257.5347184999393,276.83333117439724,278.71776221638254,309.95165891292606,267.13874182696713,14.434769053323235,277.6014395710556
27,Q10,Hive,1765.79,1810.9173998891379,1782.7783610056133,1676.086630508913,1670.8779384049535,1789.3807513142062,1897.430436919403,1908.185447809249,1760.8263473267707,1793.138985815088,77.44554329808612,1787.7358109992595
28,Q10,Spark,292.08,289.33114563824,314.13789467652964,283.81503826978843,314.47084590284385,284.0184913774966,281.6175592778756,287.531798879742,280.4642649138258,254.70224463498928,17.078610450079125,287.7876981745924
29,Q10,Spark_Cache,327.52,313.8072499665599,321.08928036530875,343.2820582890203,341.2714038891153,347.19448853788475,360.9964803897388,343.9503672135851,354.61880085321235,326.8022749367706,14.707315717641002,339.22360049346617
30,Q11,Hive,901.73,890.7205486523418,930.6180853369799,843.2081337283036,881.7616771201697,885.3737846468587,847.3609072316751,888.9372984808009,867.0957684770145,907.5094683892365,25.97977795932403,882.5095191181534
